geoid,B02001_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B19013_001E,B25034_001E,B25034_002E,B25034_003E,B25034_004E,B25034_005E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25034_010E,B25034_011E
371999604001,1645,1626,0,12,7,0,0,0,0,0,60024,1051,9,10,181,160,139,185,39,71,60,197
370810126101,1643,402,786,13,316,0,0,126,0,126,57396,577,0,0,13,53,108,82,222,18,59,22
370810126102,1867,242,333,49,1053,0,61,129,0,129,47083,760,31,0,0,154,181,51,263,49,31,0
370810160031,3334,2160,478,52,594,0,0,50,0,50,73438,1215,43,47,245,477,167,124,39,30,8,35
370999505001,1993,1860,0,101,0,0,0,32,0,32,65902,1319,90,66,317,252,180,263,74,63,0,14
370999505002,1649,1633,0,0,0,0,0,16,0,16,52610,832,0,17,149,268,192,85,66,0,21,34
370999505003,2017,1889,35,93,0,0,0,0,0,0,51604,1422,48,55,441,145,295,298,64,36,40,0
371830541062,1288,414,740,0,0,0,0,134,0,134,55521,661,2,25,223,106,110,50,133,12,0,0
371830541061,1477,1019,232,0,12,15,199,0,0,0,40960,746,0,33,341,309,38,0,25,0,0,0
371830501001,4251,2986,1016,16,92,0,11,130,12,118,105133,2531,1012,150,691,106,26,11,41,94,53,347
371830510002,1058,947,90,0,0,0,0,21,0,21,72500,499,57,17,8,0,14,6,59,7,8,323
371830512003,2011,1848,27,0,90,0,0,46,0,46,56432,881,219,64,0,38,0,10,44,32,103,371
371830512001,1433,1176,176,0,81,0,0,0,0,0,73269,923,53,77,253,170,54,15,42,178,64,17
371830525031,1812,1153,488,0,39,0,110,22,0,22,61069,1081,30,65,66,332,493,80,15,0,0,0
371830525032,3529,2693,383,31,128,0,94,200,34,166,83333,1801,42,63,583,444,365,29,186,44,14,31
371830528031,2993,1627,1293,4,21,0,31,17,0,17,41037,1284,74,0,85,181,34,61,181,437,118,113
371830528033,7468,925,5684,33,69,0,655,102,0,102,59513,2090,124,0,1205,440,128,159,15,19,0,0
371830537121,1435,1298,32,6,45,0,54,0,0,0,99958,664,0,18,79,230,191,137,9,0,0,0
371759605001,580,580,0,0,0,0,0,0,0,0,-666666666,391,0,0,106,0,56,147,62,20,0,0
371759605004,1524,1512,0,10,0,0,0,2,0,2,44767,1139,30,39,212,208,234,259,111,28,7,11
371759603001,987,947,30,0,0,0,0,10,6,4,26083,455,0,0,17,0,59,67,155,0,135,22
371759603004,1069,873,108,0,0,0,0,88,0,88,51500,705,0,0,34,0,113,16,85,156,218,83
371759603003,1296,1213,55,0,0,0,10,18,0,18,37019,576,0,0,37,15,50,58,121,76,116,103
370670038032,3022,1840,912,43,0,0,0,227,0,227,62995,1201,43,0,172,222,260,337,19,77,20,51
370670038031,2458,1752,659,0,30,0,0,17,0,17,64154,1260,0,0,71,64,417,295,237,176,0,0
